Project_ID,Sprint_ID,US_ID,Tarefas_IDS,LLM Model,NFR Base,NFR LLM,True Positive,False Positive,False Negative,Precision,Recall,F-measure,,,,,,
P01,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",4,8,4,4,0,"0,5",1,"0,67",,,,True Positive,False Positive,False Negative
P01,S02,US02,TA01 | TA02,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,P01,14,17,2
P01,S02,US03,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14 | TA15 | TA16 | TA17 | TA17,"gpt-4,1-mini",7,9,5,4,2,"0,56","0,71","0,63",,,P02,6,7,1
P01,S03,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,8,4,4,0,"0,5",1,"0,67",,,P03,15,67,4
P02,S02,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12,"gpt-4,1-mini",5,7,4,3,1,"0,57","0,8","0,67",,,P04,46,129,9
P02,S02,US29,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,P05,57,186,9
P03,S02,US05,TA01 | TA02 | TA03,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,P06,47,108,20
P03,S02,US06,TA01,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,P07,39,158,32
P03,S04,US06,TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",1,7,1,6,0,"0,14",1,"0,25",,,P08,37,242,24
P03,S04,US07,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,P09,20,38,3
P03,S04,US08,TA01 | TA02,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,P10,12,108,14
P03,S05,US09,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,8,1,7,1,"0,12","0,5","0,2",,,P11,48,45,18
P03,S05,US10,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,P12,16,60,11
P03,S05,US12,TA01 | TA02 | TA03,"gpt-4,1-mini",2,8,1,7,1,"0,12","0,5","0,2",,,P13,39,50,6
P03,S05,US13,TA01 | TA02 | TA03,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P03,S06,US15,TA01 | TA02,"gpt-4,1-mini",1,5,0,5,1,0,0,0,,,,,,
P03,S06,US16,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P03,S06,US19,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P03,S06,US20,TA01 | TA02,"gpt-4,1-mini",1,5,1,4,0,"0,2",1,"0,33",,,,,,
P04,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P04,S01,US02,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P04,S01,US03,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P04,S01,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P04,S01,US05,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,0,6,2,0,0,0,,,,,,
P04,S01,US06,TA01 | TA02 | TA03,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P04,S01,US07,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P04,S01,US10,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P04,S01,US11,TA01 | TA02 | TA03,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P04,S01,US12,TA01 | TA02 | TA03,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P04,S02,US15,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P04,S01,US16,TA01,"gpt-4,1-mini",1,4,1,3,0,"0,25",1,"0,4",,,,,,
P04,S02,US16,TA02 | TA03 | TA04,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P04,S01,US17,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P04,S02,US17,TA06,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P04,S02,US18,TA01 | TA02 | TA03,"gpt-4,1-mini",2,5,1,4,1,"0,2","0,5","0,29",,,,,,
P04,S02,US19,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,7,3,4,0,"0,43",1,"0,6",,,,,,
P04,S02,US21,TA01 | TA02 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,8,2,6,0,"0,25",1,"0,4",,,,,,
P04,S02,US22,TA01 | TA02 | TA03,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P04,S02,US23,TA01 | TA02 | TA03 | TA01 | TA02,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P04,S02,US25,TA01 | TA02 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,10,2,8,0,"0,2",1,"0,33",,,,,,
P04,S02,US26,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P04,S02,US29,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P04,S03,US39,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,8,2,6,0,"0,25",1,"0,4",,,,,,
P04,S03,US41,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P04,S03,US42,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P04,S03,US43,TA01 | TA02,"gpt-4,1-mini",2,5,2,3,0,"0,4",1,"0,57",,,,,,
P04,S03,US44,TA01 | TA02,"gpt-4,1-mini",2,5,2,3,0,"0,4",1,"0,57",,,,,,
P04,S03,US45,TA01 | TA02,"gpt-4,1-mini",2,5,2,3,0,"0,4",1,"0,57",,,,,,
P05,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13,"gpt-4,1-mini",3,8,3,5,0,"0,38",1,"0,55",,,,,,
P05,S01,US02,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S01,US03,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P05,S01,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14 | TA15 | TA16 | TA17 | TA18,"gpt-4,1-mini",5,8,4,4,1,"0,5","0,8","0,62",,,,,,
P05,S01,US05,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P05,S01,US06,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,8,2,6,0,"0,25",1,"0,4",,,,,,
P05,S01,US07,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P05,S01,US08,TA01 | TA02,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P05,S02,US10,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S02,US11,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P05,S02,US12,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P05,S02,US13,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P05,S02,US14,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S02,US15,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P05,S02,US16,TA01,"gpt-4,1-mini",0,4,0,4,0,0,0,0,,,,,,
P05,S02,US17,TA01 | TA02,"gpt-4,1-mini",2,5,2,3,0,"0,4",1,"0,57",,,,,,
P05,S03,US18,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",1,9,0,9,1,0,0,0,,,,,,
P05,S03,US19,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14,"gpt-4,1-mini",2,8,0,8,2,0,0,0,,,,,,
P05,S03,US20,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13,"gpt-4,1-mini",2,10,2,8,0,"0,2",1,"0,33",,,,,,
P05,S03,US21,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",4,7,3,4,1,"0,43","0,75","0,55",,,,,,
P05,S04,US22,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11,"gpt-4,1-mini",3,10,3,7,0,"0,3",1,"0,46",,,,,,
P05,S04,US23,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",2,9,2,7,0,"0,22",1,"0,36",,,,,,
P05,S04,US24,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S04,US26,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S05,US29,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S05,US30,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",1,6,0,6,1,0,0,0,,,,,,
P05,S06,US31,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14 | TA15 | TA16 | TA17 | TA18 | TA19 | TA20 | TA21 | TA22 | TA23 | TA24 | TA25 | TA26,"gpt-4,1-mini",4,8,4,4,0,"0,5",1,"0,67",,,,,,
P05,S07,US35,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",1,7,1,6,0,"0,14",1,"0,25",,,,,,
P05,S07,US36,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",4,9,4,5,0,"0,44",1,"0,62",,,,,,
P05,S07,US37,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S08,US38,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P05,S08,US39,TA01 | TA02,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P05,S08,US40,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S08,US41,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P05,S08,US42,TA01,"gpt-4,1-mini",0,4,0,4,0,0,0,0,,,,,,
P05,S09,US43,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA08,"gpt-4,1-mini",3,9,3,6,0,"0,33",1,"0,5",,,,,,
P06,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",6,6,3,3,3,"0,5","0,5","0,5",,,,,,
P06,S01,US02,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,2,4,1,"0,33","0,67","0,44",,,,,,
P06,S01,US03,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P06,S02,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12,"gpt-4,1-mini",3,10,3,7,0,"0,3",1,"0,46",,,,,,
P06,S02,US05,TA01 | TA02 | TA03,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P06,S02,US06,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,10,3,7,0,"0,3",1,"0,46",,,,,,
P06,S02,US07,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P06,S03,US08,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P06,S03,US09,TA01 | TA02,"gpt-4,1-mini",0,7,0,7,0,0,0,0,,,,,,
P06,S03,US10,TA01 | TA02 | TA03,"gpt-4,1-mini",3,5,1,4,2,"0,2","0,33","0,25",,,,,,
P06,S03,US11,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P06,S03,US12,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,8,4,4,1,"0,5","0,8","0,62",,,,,,
P06,S04,US13,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P06,S05,US14,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P06,S05,US15,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P06,S05,US16,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,6,3,3,2,"0,5","0,6","0,55",,,,,,
P06,S05,US17,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,6,3,3,2,"0,5","0,6","0,55",,,,,,
P06,S06,US18,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,8,1,7,2,"0,12","0,33","0,18",,,,,,
P06,S06,US19,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11,"gpt-4,1-mini",5,8,4,4,1,"0,5","0,8","0,62",,,,,,
P06,S06,US20,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P06,S07,US21,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",4,9,4,5,0,"0,44",1,"0,62",,,,,,
P06,S07,US22,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,7,4,3,0,"0,57",1,"0,73",,,,,,
P07,S08,US01,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P07,S08,US02,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S09,US03,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P07,S09,US04,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S09,US05,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S09,US06,TA01 | TA02 | TA03,"gpt-4,1-mini",2,4,0,4,2,0,0,0,,,,,,
P07,S09,US07,TA01 | TA02 | TA03,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P07,S09,US08,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S09,US09,TA01 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P07,S10,US09,TA02 | TA06 | TA07 | TA08,"gpt-4,1-mini",1,6,0,6,1,0,0,0,,,,,,
P07,S10,US10,TA01 | TA02,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P07,S10,US11,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P07,S10,US12,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,9,3,6,1,"0,33","0,75","0,46",,,,,,
