Project_ID,Sprint_ID,US_ID,Tarefas_IDS,LLM Model,NFR Base,NFR LLM,True Positive,False Positive,False Negative,Precision,Recall,F-measure,,,,,,
P07,S11,US13,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S11,US14,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,9,2,7,1,"0,22","0,67","0,33",,,,,,
P07,S11,US15,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,5,1,4,2,"0,2","0,33","0,25",,,,,,
P07,S12,US16,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S12,US17,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P07,S12,US18,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S12,US19,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P07,S12,US20,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P07,S12,US21,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",3,9,2,7,1,"0,22","0,67","0,33",,,,,,
P07,S12,US22,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S13,US23,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,7,3,4,2,"0,43","0,6","0,5",,,,,,
P07,S13,US24,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P07,S13,US25,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S13,US26,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",2,9,2,7,0,"0,22",1,"0,36",,,,,,
P07,S14,US27,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P07,S14,US28,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P07,S14,US30,TA01 | TA02 | TA03,"gpt-4,1-mini",3,4,2,2,1,"0,5","0,67","0,57",,,,,,
P07,S14,US29,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P08,S01,US01,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P08,S01,US02,TA01 | TA02 | TA03,"gpt-4,1-mini",1,6,0,6,1,0,0,0,,,,,,
P08,S01,US03,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",3,9,2,7,1,"0,22","0,67","0,33",,,,,,
P08,S01,US05,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S02,US09,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S02,US10,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P08,S02,US11,TA01 | TA02 | TA03,"gpt-4,1-mini",3,5,3,2,0,"0,6",1,"0,75",,,,,,
P08,S02,US12,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P08,S03,US14,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S04,US15,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S04,US16,TA01 | TA02,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P08,S11,US16,TA03,"gpt-4,1-mini",1,5,1,4,0,"0,2",1,"0,33",,,,,,
P08,S12,US16,TA04 | TA05,"gpt-4,1-mini",2,5,1,4,1,"0,2","0,5","0,29",,,,,,
P08,S04,US17,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S04,US18,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P08,S05,US19,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S06,US24,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S06,US25,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S06,US26,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S06,US28,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P08,S06,US29,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P08,S07,US31,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US32,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US33,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S07,US35,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US36,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,9,3,6,1,"0,33","0,75","0,46",,,,,,
P08,S07,US37,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P08,S07,US38,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US39,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S08,US40,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P08,S08,US41,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P08,S09,US42,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S09,US43,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S09,US44,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,2,4,1,"0,33","0,67","0,44",,,,,,
P08,S09,US45,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S10,US50,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P08,S10,US52,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S10,US53,TA01,"gpt-4,1-mini",0,3,0,3,0,0,0,0,,,,,,
P08,S11,US56,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P08,S11,US58,TA01,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P08,S12,US61,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S12,US63,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P08,S12,US70,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P08,S12,US64,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S12,US68,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P08,S12,US69,TA01,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P09,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",3,9,3,6,0,"0,33",1,"0,5",,,,,,
P09,S01,US02,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,7,3,4,0,"0,43",1,"0,6",,,,,,
P09,S01,US03,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P09,S01,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",4,8,3,5,1,"0,38","0,75","0,5",,,,,,
P09,S01,US05,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P09,S02,US06,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P09,S02,US07,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13,"gpt-4,1-mini",6,9,5,4,1,"0,56","0,83","0,67",,,,,,
P09,S03,US08,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P10,S01,US177,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",2,9,1,8,1,"0,11","0,5","0,18",,,,,,
P10,S02,US178,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,0,6,2,0,0,0,,,,,,
P10,S02,US181,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P10,S03,US182,TA01,"gpt-4,1-mini",0,3,0,3,0,0,0,0,,,,,,
P10,S03,US183,TA01 | TA02 | TA03 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",2,8,1,7,1,"0,12","0,5","0,2",,,,,,
P10,,US183,TA04,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P10,S03,US192,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P10,S04,US200,TA01 | TA02,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P10,S05,US226,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10,"gpt-4,1-mini",2,9,1,8,1,"0,11","0,5","0,18",,,,,,
P10,S05,US257,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,8,1,7,1,"0,12","0,5","0,2",,,,,,
P10,S06,US267,TA01 | TA02 | TA03,"gpt-4,1-mini",2,4,1,3,1,"0,25","0,5","0,33",,,,,,
P10,S07,US314,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P10,S08,US322,TA01 | TA02,"gpt-4,1-mini",2,5,1,4,1,"0,2","0,5","0,29",,,,,,
P10,S09,US322,TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,6,3,3,1,"0,5","0,75","0,6",,,,,,
P10,S10,US363,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P10,S10,US364,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,8,1,7,1,"0,12","0,5","0,2",,,,,,
P10,S11,US372,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P10,S12,US392,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P10,S12,US390,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P10,S13,US394,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P11,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",6,6,3,3,3,"0,5","0,5","0,5",,,,,,
P11,S02,US02,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",6,7,4,3,2,"0,57","0,67","0,62",,,,,,
P11,S03,US03,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P11,S03,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",7,10,6,4,1,"0,6","0,86","0,71",,,,,,
P11,S03,US05,TA01 | TA02 | TA03,"gpt-4,1-mini",3,5,1,4,2,"0,2","0,33","0,25",,,,,,
P11,S04,US06,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10,"gpt-4,1-mini",7,9,5,4,2,"0,56","0,71","0,63",,,,,,
P11,S04,US07,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",5,9,4,5,1,"0,44","0,8","0,57",,,,,,
P11,S04,US08,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P11,S05,US09,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10,"gpt-4,1-mini",7,10,6,4,1,"0,6","0,86","0,71",,,,,,
P11,S05,US10,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",6,8,5,3,1,"0,62","0,83","0,71",,,,,,
P11,S05,US11,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10,"gpt-4,1-mini",7,9,5,4,2,"0,56","0,71","0,63",,,,,,
P11,S05,US12,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA07 | TA08 | TA09,"gpt-4,1-mini",7,8,4,4,3,"0,5","0,57","0,53",,,,,,
P12,S01,US01,TA01 | TA02,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P12,S01,US02,TA01 | TA02,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P12,S01,US03,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P12,S01,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P12,S02,US05,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14 | TA15 | TA16 | TA17 | TA18 | TA19,"gpt-4,1-mini",7,8,6,2,1,"0,75","0,86","0,8",,,,,,
P12,S03,US06,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P12,S03,US08,TA01 | TA02 | TA03,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P12,S04,US09,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P12,S04,US12,TA01,"gpt-4,1-mini",0,4,0,4,0,0,0,0,,,,,,
P12,S04,US13,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P12,S04,US14,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P12,S04,US15,TA01 | TA02 | TA03,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P13,S01,US01,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,Global Precision,#DIV/0!,,
P13,S01,US02,TA01 | TA02 | TA03,"gpt-4,1-mini",2,8,2,6,0,"0,25",1,"0,4",,,Global Recall,#DIV/0!,,
P13,S02,US03,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,Global F-Measure,#DIV/0!,,
P13,S02,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",6,9,5,4,1,"0,56","0,83","0,67",,,,,,
P13,S02,US05,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",6,9,5,4,1,"0,56","0,83","0,67",,,,,,
P13,S03,US06,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",6,9,5,4,1,"0,56","0,83","0,67",,,,,,
P13,S03,US07,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",5,9,5,4,0,"0,56",1,"0,71",,,,,,
P13,S04,US08,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",6,11,6,5,0,"0,55",1,"0,71",,,,,,
P13,S05,US09,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",4,7,4,3,0,"0,57",1,"0,73",,,,,,
P13,S05,US10,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",3,10,2,8,1,"0,2","0,67","0,31",,,,,,
P13,S05,US12,TA01 | TA02,"gpt-4,1-mini",2,5,2,3,0,"0,4",1,"0,57",,,,,,
TOTAL,,,,,,,396,1215,153,,,,,,,,,